carrier,dep_time,dep_delay,arr_delay,dest,tailnum
B6,2023-01-06 23:41:53,71.0,24.0,LAX,N222UA
AA,2023-01-03 11:35:32,78.0,112.0,SFO,N222UA
DL,2023-01-07 00:15:32,54.0,119.0,ORD,N333B6
AA,2023-01-04 16:00:37,54.0,126.0,ORD,N987DL
B6,2023-01-04 08:18:26,59.0,73.0,JFK,N222UA
WN,2023-01-01 07:51:35,2.0,,JFK,N222UA
WN,2023-01-01 03:50:07,0.0,161.0,SFO,N444WN
UA,2023-01-06 00:59:24,35.0,177.0,ATL,N444WN
AA,2023-01-02 19:45:04,0.0,51.0,LAX,N123AA
AA,2023-01-03 18:07:47,76.0,73.0,JFK,N333B6
UA,2023-01-06 14:43:28,106.0,154.0,ORD,N123AA
UA,2023-01-05 13:35:40,86.0,49.0,SFO,N444WN
UA,2023-01-06 23:52:03,84.0,161.0,LAX,N987DL
B6,2023-01-02 22:23:01,105.0,67.0,SFO,N444WN
AA,2023-01-01 05:31:10,76.0,-10.0,LAX,N333B6
B6,2023-01-03 08:26:36,108.0,109.0,LAX,N444WN
UA,2023-01-03 21:04:43,4.0,154.0,JFK,N333B6
AA,2023-01-03 17:11:17,60.0,73.0,SFO,N333B6
B6,2023-01-01 07:26:30,106.0,29.0,SFO,N333B6
B6,2023-01-06 04:32:25,76.0,53.0,ORD,N333B6
UA,2023-01-06 15:24:22,54.0,24.0,ORD,N333B6
AA,2023-01-07 05:56:13,30.0,177.0,JFK,N987DL
UA,2023-01-01 23:56:28,111.0,-2.0,JFK,N123AA
AA,2023-01-07 02:57:16,29.0,24.0,ATL,N222UA
WN,2023-01-01 08:25:55,35.0,24.0,ORD,N123AA
DL,2023-01-06 05:16:55,2.0,3.0,LAX,N333B6
DL,2023-01-05 16:52:12,112.0,141.0,SFO,N987DL
DL,2023-01-02 19:29:02,54.0,119.0,JFK,N444WN
UA,2023-01-03 00:10:16,12.0,49.0,SFO,N987DL
WN,2023-01-04 12:44:22,0.0,38.0,SFO,N333B6
AA,2023-01-07 12:33:06,50.0,-2.0,ATL,N987DL
B6,2023-01-06 19:21:48,105.0,65.0,ORD,N987DL
AA,2023-01-01 17:07:09,30.0,-6.0,JFK,N333B6
B6,2023-01-04 19:09:44,112.0,152.0,SFO,N987DL
AA,2023-01-06 16:52:14,35.0,119.0,JFK,N222UA
WN,2023-01-04 08:36:00,22.0,52.0,LAX,N222UA
B6,2023-01-07 08:17:28,7.0,119.0,ATL,N987DL
UA,2023-01-03 11:25:20,105.0,-10.0,LAX,N444WN
AA,2023-01-03 19:26:44,114.0,51.0,JFK,N333B6
AA,2023-01-05 08:42:45,113.0,38.0,JFK,N222UA
B6,2023-01-06 08:00:57,52.0,83.0,ORD,N444WN
UA,2023-01-06 20:08:12,54.0,-6.0,SFO,N987DL
UA,2023-01-05 19:31:56,7.0,83.0,SFO,N444WN
WN,2023-01-02 11:35:48,2.0,139.0,LAX,N123AA
UA,2023-01-06 15:04:21,27.0,126.0,ATL,N222UA
UA,2023-01-05 02:45:40,111.0,152.0,SFO,N987DL
UA,2023-01-03 05:31:54,63.0,127.0,ORD,N333B6
DL,2023-01-04 06:51:16,111.0,,LAX,N987DL
WN,2023-01-04 00:09:07,12.0,154.0,LAX,N333B6
AA,2023-01-05 21:39:30,94.0,2.0,ORD,N987DL
B6,2023-01-04 04:39:47,112.0,84.0,ATL,N444WN
AA,2023-01-01 04:54:00,,90.0,ORD,N444WN
WN,2023-01-01 14:35:28,7.0,94.0,ATL,N444WN
B6,2023-01-04 00:00:14,21.0,127.0,ORD,N123AA
WN,2023-01-06 19:11:48,50.0,161.0,ORD,N333B6
UA,2023-01-05 06:21:41,4.0,51.0,JFK,N444WN
B6,2023-01-02 17:42:39,35.0,62.0,LAX,N123AA
UA,2023-01-02 23:55:02,60.0,84.0,ORD,N333B6
AA,2023-01-02 19:12:56,58.0,2.0,ORD,N987DL
AA,2023-01-01 03:03:43,-1.0,49.0,SFO,N123AA
B6,2023-01-07 07:35:35,84.0,53.0,LAX,N222UA
B6,2023-01-05 11:47:23,63.0,151.0,SFO,N123AA
WN,2023-01-04 07:28:23,54.0,54.0,LAX,N123AA
WN,2023-01-01 18:23:23,90.0,29.0,SFO,N333B6
UA,2023-01-02 20:39:35,95.0,49.0,ORD,N987DL
B6,2023-01-01 02:35:37,52.0,53.0,ORD,N222UA
AA,2023-01-07 14:31:55,86.0,58.0,JFK,N444WN
