carrier,dest,dep_delay,arr_delay,dep_delay_filled,arr_delay_filled
DL,SFO,104,220,104,220
DL,SFO,146,2,146,2
DL,SFO,156,2,156,2
UA,ATL,15,52,15,52
UA,ATL,65,105,65,105
UA,ATL,71,211,71,211
UA,ATL,72,203,72,203
UA,ATL,94,5,94,5
UA,ATL,98,67,98,67
UA,ATL,127,52,127,52
UA,ATL,164,228,164,228
UA,ATL,173,126,173,126
UA,DFW,11,25,11,25
UA,DFW,26,69,26,69
UA,DFW,59,25,59,25
UA,DFW,62,12,62,12
UA,DFW,69,190,69,190
UA,DFW,74,94,74,94
UA,DFW,100,214,100,214
UA,DFW,109,225,109,225
UA,DFW,115,196,115,196
UA,DFW,115,238,115,238
UA,DFW,127,220,127,220
UA,DFW,134,12,134,12
UA,DFW,146,56,146,56
UA,DFW,167,31,167,31
UA,JFK,22,152,22,152
UA,JFK,59,83,59,83
UA,JFK,91,3,91,3
UA,JFK,104,12,104,12
UA,JFK,104,95,104,95
UA,JFK,150,185,150,185
UA,LAX,-3,5,-3,5
UA,LAX,-3,92,-3,92
UA,LAX,0,147,0,147
UA,LAX,4,42,4,42
UA,LAX,22,153,22,153
UA,LAX,66,81,66,81
UA,LAX,66,189,66,189
UA,LAX,66,196,66,196
UA,LAX,91,16,91,16
UA,LAX,96,196,96,196
UA,LAX,168,81,168,81
UA,LAX,169,16,169,16
UA,LAX,173,79,173,79
UA,ORD,19,5,19,5
UA,ORD,173,150,173,150
UA,SFO,0,7,0,7
UA,SFO,28,238,28,238
UA,SFO,34,158,34,158
UA,SFO,34,215,34,215
UA,SFO,65,69,65,69
UA,SFO,110,214,110,214
UA,SFO,123,185,123,185
UA,SFO,144,79,144,79
UA,SFO,150,4,150,4
UA,SFO,150,20,150,20
UA,SFO,167,191,167,191
WN,ATL,19,220,19,220
WN,ATL,20,153,20,153
WN,ATL,26,81,26,81
WN,ATL,35,-7,35,-7
WN,ATL,66,-7,66,-7
WN,ATL,100,192,100,192
WN,ATL,108,16,108,16
WN,ATL,123,6,123,6
WN,ATL,144,105,144,105
WN,ATL,169,215,169,215
WN,ATL,177,12,177,12
WN,DFW,3,12,3,12
WN,DFW,11,202,11,202
WN,DFW,12,75,12,75
WN,DFW,46,92,46,92
WN,DFW,70,29,70,29
WN,DFW,70,83,70,83
WN,DFW,72,47,72,47
WN,DFW,119,129,119,129
WN,DFW,146,222,146,222
WN,DFW,156,,156,0
WN,JFK,71,191,71,191
WN,JFK,91,70,91,70
WN,JFK,98,105,98,105
WN,JFK,100,16,100,16
WN,JFK,115,129,115,129
WN,JFK,134,207,134,207
WN,LAX,-3,98,-3,98
WN,LAX,,185,0,185
WN,LAX,26,81,26,81
WN,LAX,28,211,28,211
WN,LAX,35,77,35,77
WN,LAX,35,92,35,92
WN,LAX,104,83,104,83
WN,LAX,108,105,108,105
WN,LAX,150,20,150,20
WN,LAX,156,92,156,92
WN,LAX,173,238,173,238
WN,ORD,-1,98,-1,98
WN,ORD,3,10,3,10
WN,ORD,15,228,15,228
WN,ORD,20,123,20,123
WN,ORD,34,238,34,238
WN,ORD,66,16,66,16
WN,ORD,69,79,69,79
WN,ORD,70,105,70,105
WN,ORD,91,228,91,228
WN,ORD,119,79,119,79
WN,ORD,127,111,127,111
WN,ORD,134,63,134,63
WN,ORD,150,228,150,228
WN,ORD,156,181,156,181
WN,SFO,0,153,0,153
WN,SFO,4,190,4,190
WN,SFO,11,111,11,111
WN,SFO,19,81,19,81
WN,SFO,20,16,20,16
WN,SFO,20,98,20,98
WN,SFO,20,200,20,200
WN,SFO,26,-7,26,-7
WN,SFO,34,185,34,185
WN,SFO,35,7,35,7
WN,SFO,60,79,60,79
WN,SFO,66,8,66,8
WN,SFO,72,153,72,153
WN,SFO,100,212,100,212
WN,SFO,104,70,104,70
WN,SFO,110,-7,110,-7
WN,SFO,150,171,150,171
WN,SFO,158,69,158,69
